month,total_income,total_expense,savings,savings_rate
2018-02,6721.49,12686.300000000001,-5964.810000000001,-88.74
2018-03,4298.09,1619.99,2678.1000000000004,62.31
2018-04,1050.37,4098.96,-3048.59,-290.24
2018-05,906.73,1111.31,-204.57999999999993,-22.56
2018-06,2154.13,445.54,1708.5900000000001,79.32
2018-07,2000.0,282.63,1717.37,85.87
2018-08,2259.87,367.46999999999997,1892.3999999999999,83.74
2018-09,2843.56,1235.5600000000002,1607.9999999999998,56.55
2018-11,2000.0,8615.260000000002,-6615.260000000002,-330.76
2018-12,4000.0,771.55,3228.45,80.71
2019-01,4600.51,1835.37,2765.1400000000003,60.11
2019-02,2250.0,5129.5,-2879.5,-127.98
2019-03,260.95,4207.95,-3947.0,-1512.55
2019-04,2000.0,1455.3300000000004,544.6699999999996,27.23
2019-05,2716.93,1217.48,1499.4499999999998,55.19
2019-06,1610.4499999999998,3318.91,-1708.46,-106.09
2019-07,2000.0,708.13,1291.87,64.59
2019-09,1041.17,1891.95,-850.78,-81.71
2019-10,2000.0,400.17999999999995,1599.8200000000002,79.99
2019-11,360.56,225.95999999999998,134.60000000000002,37.33
2019-12,2000.0,767.0600000000001,1232.94,61.65
2018-01,0.0,606.21,-606.21,-inf
2018-10,0.0,743.53,-743.53,-inf
2019-08,0.0,772.1,-772.1,-inf
